algoritmo,dim,max_fes,funcion,mean,median,std
de,20,50000,4,150.97622495821727,153.6869470829938,25.65638475075844
de,20,50000,5,0.058490388521127167,0.01166092069786373,0.11585572100109093
de,20,50000,6,7061849.782009602,5779908.718143147,4316366.253850284
de,20,50000,7,17.646932299935713,0.0,25.706413696554442
de,20,50000,8,706.1222638889839,615.6211891983494,494.611955027524
de,20,50000,9,353.2653167423172,350.79370592710484,14.316973802043702
de,20,50000,10,75.64670145222485,0.0,132.7389029164093
de,20,50000,11,30.98907638025213,23.164021543382205,41.453462436252046
de,20,50000,12,224.00206339904486,223.67078468762293,5.191047834669907
de,20,500000,1,43.37195572431158,6.157145670268562,96.85242007466707
de,20,500000,2,64.26055455163336,58.12193632728173,15.122769781324271
de,20,500000,3,0.001080475574502659,1.939259414029948e-05,0.0028158618074421737
de,20,500000,4,84.10791938071776,83.42011232184711,15.709808101373337
de,20,500000,5,0.05738564608776976,0.01166092069786373,0.11537364604584036
de,20,500000,6,881767.7685540083,771930.8347682335,567366.9167040172
de,20,500000,7,9.366267819988257,0.0,14.057821070604875
de,20,500000,8,18.965356578982092,0.0,62.84756284213152
de,20,500000,9,353.2622037456224,350.7937059271044,14.31991505644343
de,20,500000,10,3.738491517169437,0.0,26.698169600580105
de,20,500000,11,30.98799510918953,23.126327766493432,41.453670822122746
de,20,500000,12,221.20310038999648,221.6007396931309,6.074761944431984
de,20,5000000,1,43.37195572431157,6.157145670268562,96.85242007466701
de,20,5000000,2,64.24094254477603,58.12193632728173,15.125943904877769
de,20,5000000,3,0.001080475574502659,1.939259414029948e-05,0.0028158618074421737
de,20,5000000,4,42.01036901145387,41.62889490352575,6.803039765664354
de,20,5000000,5,0.05738564608776976,0.01166092069786373,0.11537364604584036
de,20,5000000,6,104202.92699519466,99286.45817991017,44791.074793800995
de,20,5000000,7,7.29001576797009,0.0,10.970794075148891
de,20,5000000,8,16.60411310155082,0.0,61.34754167958623
de,20,5000000,9,353.2622037456224,350.7937059271044,14.31991505644343
de,20,5000000,10,3.738491517018327,0.0,26.698169599500964
de,20,5000000,11,30.98799510918953,23.126327766493432,41.453670822122746
de,20,5000000,12,220.9800437325959,221.6007396931309,6.211949379806567
middleware,10,5000,1,1979.0839283617825,1628.7269264821869,1154.537012530268
middleware,10,5000,2,25.72687594907945,18.77872913527966,17.919747349123075
middleware,10,5000,3,0.00030092251898515635,2.8513042366284935e-05,0.0011328650257570307
middleware,10,5000,4,69.2792581861763,70.5,14.579634668387854
middleware,10,5000,5,0.16196622719674086,0.1360865365270456,0.10779122657846087
middleware,10,5000,6,54352.30517683387,52454.83431142653,21225.28398005745
middleware,10,5000,7,45.43112618620489,44.15192173558967,8.642345161874347
middleware,10,5000,8,62.08722820987595,47.97230595851761,42.56227380040424
middleware,10,5000,9,310.923771215445,374.5424797744995,119.54367256011858
middleware,10,5000,10,38.72050643082107,0.0,82.45072343842392
middleware,10,5000,11,21.6563596645674,20.46013893691952,18.775346016415313
middleware,10,5000,12,164.47974718822005,165.40775634864121,4.20995291929903
middleware,10,50000,1,0.008815608189243172,5.684341886080802e-14,0.062437546424601746
middleware,10,50000,2,6.946526004971408,8.241269170057592,2.6392290379674694
middleware,10,50000,3,2.952607674695387e-09,0.0,1.52407546407481e-08
middleware,10,50000,4,28.938602179170843,30.003290199445473,6.8731672302644595
middleware,10,50000,5,5.798883336740568e-07,6.59383658785373e-12,4.140597396408588e-06
middleware,10,50000,6,3024.705163086566,2022.4593895454123,2926.8583295356157
middleware,10,50000,7,13.29149357659511,20.483262335751306,9.440122753149508
middleware,10,50000,8,13.509734389144814,13.02953798788576,9.43030978092922
middleware,10,50000,9,220.48693099840096,359.2265014338309,177.8161244506671
middleware,10,50000,10,0.0,0.0,0.0
middleware,10,50000,11,4.850691563677468,2.8780914362869225e-07,8.70416748250954
middleware,10,50000,12,145.08858752931405,150.53146404007475,14.54038397275506
middleware,10,500000,1,0.0,0.0,0.0
middleware,10,500000,2,6.4555942979633025,7.5597916602689,2.976344468192698
middleware,10,500000,3,0.0,0.0,0.0
middleware,10,500000,4,13.236100923323239,12.89714028773028,2.8032909200521083
middleware,10,500000,5,3.120815153142401e-14,0.0,5.1239510960498116e-14
middleware,10,500000,6,1399.016987711668,913.6164229288638,1489.2187067690215
middleware,10,500000,7,7.576197546410296,0.9949591515457996,9.588505045203762
middleware,10,500000,8,7.433955887821653,0.27509376103853356,9.885335072745596
middleware,10,500000,9,205.4990972730867,359.0943447803602,180.5976848304172
middleware,10,500000,10,0.0,0.0,0.0
middleware,10,500000,11,3.9901842475094194,4.547473508864641e-13,7.867699441120642
middleware,10,500000,12,112.90633586254464,133.20179532067777,52.997119443910215
middleware,10,5000000,1,0.004044610899497644,0.0,0.01645454078375841
middleware,10,5000000,2,9.880857550779613,8.469987800286447,9.946339561027226
middleware,10,5000000,3,0.0005692926850819204,2.7284841053187847e-12,0.003084688595319008
middleware,10,5000000,4,9.54962890009721,10.013313027509412,1.9339412205950814
middleware,10,5000000,5,0.0009913850522426562,0.0,0.003236255040115579
middleware,10,5000000,6,2590.3399726837583,1380.5536621777983,2808.021846059961
middleware,10,5000000,7,7.654872951614428,0.9949590570995497,9.637481996789937
middleware,10,5000000,8,4.944174155134185,0.05212369812034012,8.664028920184121
middleware,10,5000000,9,219.44886518909712,359.77460570903395,178.50856386484548
middleware,10,5000000,10,0.0,0.0,0.0
middleware,10,5000000,11,10.072341318791747,7.721853542714143,9.083497264703409
middleware,10,5000000,12,139.7099073507607,154.24018349722837,36.46268937388947
middleware,20,5000,1,21474.123204799016,20840.288376408877,5273.30102182644
middleware,20,5000,2,125.27801511614969,117.10138662650445,36.587993238869345
middleware,20,5000,3,0.005822624523034392,0.00525837506404514,0.003073938431798535
middleware,20,5000,4,278.17259449476813,282.11193712591466,28.538487229821925
middleware,20,5000,5,2.48337666997004,2.087038595667309,1.3223837875217306
middleware,20,5000,6,36075982.89955499,20721307.595476344,37144591.937213965
middleware,20,5000,7,403.75492108127264,397.4231971262593,196.9005319432114
middleware,20,5000,8,256015.05647086035,7470.575643571412,1778941.5233262763
middleware,20,5000,9,458.42092028886924,456.03081744153724,42.99339804264162
middleware,20,5000,10,712.8326593903365,640.0981376437512,423.82005179703
middleware,20,5000,11,70.85488961443251,41.758364898455966,100.92096529927326
middleware,20,5000,12,281.3738487704822,278.5677086470005,18.74724865029958
middleware,20,50000,1,21.48511456285087,0.006477921957298349,101.39961552058787
middleware,20,50000,2,54.5848923177438,49.10131217457888,10.174954617977132
middleware,20,50000,3,0.0005191368198313962,2.6946543130179634e-07,0.001386628521675102
middleware,20,50000,4,170.09748350455087,177.55652467444395,24.632609785641765
middleware,20,50000,5,0.026605683330698786,0.0009719075571865687,0.04617466539402817
middleware,20,50000,6,5982432.371777756,2262166.50530373,7278547.470849818
middleware,20,50000,7,12.319042605462885,0.0,26.62467221249434
middleware,20,50000,8,1468.4835276411134,1147.4268375352053,1109.9998317666227
middleware,20,50000,9,337.81706305646367,335.9800500904671,6.00344702310156
middleware,20,50000,10,43.39067551525879,0.0,101.23009645603227
middleware,20,50000,11,12.610132318973807,12.740357524286537,12.289801246533553
middleware,20,50000,12,225.82482394052423,224.9015637279931,4.799303797078913
middleware,20,500000,1,1.8947806286936004e-14,0.0,2.7062880495209547e-14
middleware,20,500000,2,51.187345890863305,49.08447897979386,7.193952400626908
middleware,20,500000,3,3.566645889305601e-14,0.0,5.32763066193189e-14
middleware,20,500000,4,103.4626711401559,105.05344395979546,21.44480674426219
middleware,20,500000,5,0.022820926576962525,3.410605131648481e-13,0.04684008975305375
middleware,20,500000,6,826420.078848939,296755.4968225756,1025152.3378300634
middleware,20,500000,7,3.8849249302655724,0.0,10.045782194695054
middleware,20,500000,8,32.054108026792875,0.0,48.36041509982707
middleware,20,500000,9,335.95331681334125,335.638770339468,2.213654988079794
middleware,20,500000,10,0.0,0.0,0.0
middleware,20,500000,11,5.250929250313604,4.547473508864641e-13,8.51663397085355
middleware,20,500000,12,217.4900384172785,220.98243067091153,11.522015187422003
